game_id,n_rounds,n_turns,other_player_level,player_0_-1_gems_taken,player_0_-2_gems_taken,player_0_0_gems_taken,player_0_1_gems_taken,player_0_1_reserve_board,player_0_1_reserve_topdeck,player_0_2_gems_taken,player_0_2_reserve_board,player_0_2_reserve_topdeck,player_0_3_gems_taken,player_0_3_reserve_board,player_0_3_reserve_topdeck,player_0_ai_level,player_0_costs_tier_1_cost_is_1,player_0_costs_tier_1_cost_is_2,player_0_costs_tier_1_cost_is_3,player_0_costs_tier_2_cost_is_1,player_0_costs_tier_2_cost_is_2,player_0_costs_tier_2_cost_is_3,player_0_costs_tier_3_cost_is_1,player_0_costs_tier_3_cost_is_2,player_0_costs_tier_3_cost_is_3,player_0_n_cards,player_0_n_objectives,player_0_n_reserved_cards,player_0_ncards_black,player_0_ncards_blue,player_0_ncards_green,player_0_ncards_red,player_0_ncards_tier_1,player_0_ncards_tier_2,player_0_ncards_tier_3,player_0_ncards_white,player_0_order,player_0_points,player_0_points_tier_1_points_is_0,player_0_points_tier_1_points_is_1,player_0_points_tier_2_points_is_1,player_0_points_tier_2_points_is_2,player_0_points_tier_2_points_is_3,player_0_points_tier_3_points_is_3,player_0_points_tier_3_points_is_4,player_0_points_tier_3_points_is_5,player_0_win,player_1_-1_gems_taken,player_1_-2_gems_taken,player_1_0_gems_taken,player_1_1_gems_taken,player_1_1_reserve_board,player_1_1_reserve_topdeck,player_1_2_gems_taken,player_1_2_reserve_board,player_1_2_reserve_topdeck,player_1_3_gems_taken,player_1_3_reserve_board,player_1_3_reserve_topdeck,player_1_ai_level,player_1_costs_tier_1_cost_is_1,player_1_costs_tier_1_cost_is_2,player_1_costs_tier_1_cost_is_3,player_1_costs_tier_2_cost_is_1,player_1_costs_tier_2_cost_is_2,player_1_costs_tier_2_cost_is_3,player_1_costs_tier_3_cost_is_1,player_1_costs_tier_3_cost_is_2,player_1_costs_tier_3_cost_is_3,player_1_n_cards,player_1_n_objectives,player_1_n_reserved_cards,player_1_ncards_black,player_1_ncards_blue,player_1_ncards_green,player_1_ncards_red,player_1_ncards_tier_1,player_1_ncards_tier_2,player_1_ncards_tier_3,player_1_ncards_white,player_1_order,player_1_points,player_1_points_tier_1_points_is_0,player_1_points_tier_1_points_is_1,player_1_points_tier_2_points_is_1,player_1_points_tier_2_points_is_2,player_1_points_tier_2_points_is_3,player_1_points_tier_3_points_is_3,player_1_points_tier_3_points_is_4,player_1_points_tier_3_points_is_5,player_1_win,player_2_-1_gems_taken,player_2_-2_gems_taken,player_2_0_gems_taken,player_2_1_gems_taken,player_2_1_reserve_board,player_2_1_reserve_topdeck,player_2_2_gems_taken,player_2_2_reserve_board,player_2_2_reserve_topdeck,player_2_3_gems_taken,player_2_3_reserve_board,player_2_3_reserve_topdeck,player_2_ai_level,player_2_costs_tier_1_cost_is_1,player_2_costs_tier_1_cost_is_2,player_2_costs_tier_1_cost_is_3,player_2_costs_tier_2_cost_is_1,player_2_costs_tier_2_cost_is_2,player_2_costs_tier_2_cost_is_3,player_2_costs_tier_3_cost_is_1,player_2_costs_tier_3_cost_is_2,player_2_costs_tier_3_cost_is_3,player_2_n_cards,player_2_n_objectives,player_2_n_reserved_cards,player_2_ncards_black,player_2_ncards_blue,player_2_ncards_green,player_2_ncards_red,player_2_ncards_tier_1,player_2_ncards_tier_2,player_2_ncards_tier_3,player_2_ncards_white,player_2_order,player_2_points,player_2_points_tier_1_points_is_0,player_2_points_tier_1_points_is_1,player_2_points_tier_2_points_is_1,player_2_points_tier_2_points_is_2,player_2_points_tier_2_points_is_3,player_2_points_tier_3_points_is_3,player_2_points_tier_3_points_is_4,player_2_points_tier_3_points_is_5,player_2_win,player_3_-1_gems_taken,player_3_-2_gems_taken,player_3_0_gems_taken,player_3_1_gems_taken,player_3_1_reserve_board,player_3_1_reserve_topdeck,player_3_2_gems_taken,player_3_2_reserve_board,player_3_2_reserve_topdeck,player_3_3_gems_taken,player_3_3_reserve_board,player_3_3_reserve_topdeck,player_3_ai_level,player_3_costs_tier_1_cost_is_1,player_3_costs_tier_1_cost_is_2,player_3_costs_tier_1_cost_is_3,player_3_costs_tier_2_cost_is_1,player_3_costs_tier_2_cost_is_2,player_3_costs_tier_2_cost_is_3,player_3_costs_tier_3_cost_is_1,player_3_costs_tier_3_cost_is_2,player_3_costs_tier_3_cost_is_3,player_3_n_cards,player_3_n_objectives,player_3_n_reserved_cards,player_3_ncards_black,player_3_ncards_blue,player_3_ncards_green,player_3_ncards_red,player_3_ncards_tier_1,player_3_ncards_tier_2,player_3_ncards_tier_3,player_3_ncards_white,player_3_order,player_3_points,player_3_points_tier_1_points_is_0,player_3_points_tier_1_points_is_1,player_3_points_tier_2_points_is_1,player_3_points_tier_2_points_is_2,player_3_points_tier_2_points_is_3,player_3_points_tier_3_points_is_3,player_3_points_tier_3_points_is_4,player_3_points_tier_3_points_is_5,player_3_win,player_winner_n_objectives,player_winner_ncards_tier_1,player_winner_ncards_tier_2,player_winner_ncards_tier_3,unique_player_id,unique_player_level,unique_player_win
748,28,115,5,0,0,0,0,3,0,2,2,0,4,2,0,5,0,0,4,0,0,0,0,0,0,16,1,3,4,4,4,1,12,4,0,3,0,9,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,8,1,0,11,0,0,2,0,0,0,0,0,0,12,0,2,2,1,4,3,5,7,0,2,3,16,5,0,0,5,2,0,0,0,1,0,0,4,1,0,0,1,1,0,9,2,0,5,0,0,1,0,0,0,0,0,0,11,0,2,1,4,2,1,8,2,1,3,2,8,7,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,7,2,0,5,0,0,2,0,0,0,0,0,0,17,1,3,4,2,2,6,13,3,1,3,1,11,11,2,3,0,0,1,0,0,0,0,5,7,0,1,11,1
749,29,119,5,0,0,0,0,0,0,2,3,0,9,2,0,5,0,0,4,0,0,0,0,0,0,14,1,2,1,2,5,4,9,4,1,2,0,17,8,1,1,2,1,0,0,1,1,0,0,0,0,1,0,0,4,0,13,1,0,11,0,0,2,0,0,0,0,0,0,11,0,3,2,1,2,3,5,6,0,3,1,9,5,0,3,3,0,0,0,0,0,0,0,0,0,3,1,3,2,0,7,0,0,5,0,0,1,0,0,0,0,0,0,14,0,3,2,5,3,2,11,3,0,2,2,4,11,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,1,1,9,1,0,5,0,0,0,0,0,0,0,0,0,14,1,3,3,3,3,3,11,3,0,2,3,10,7,4,3,0,0,0,0,0,0,1,9,4,1,1,11,0
750,27,111,5,0,0,0,0,4,0,3,1,0,8,2,0,5,0,0,2,0,0,0,0,0,0,10,0,2,3,3,3,0,7,3,0,1,1,6,5,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,7,1,0,11,0,0,2,0,0,0,0,0,0,14,0,3,6,2,2,2,10,4,0,2,0,10,9,1,0,3,1,0,0,0,0,0,0,0,1,1,0,2,2,0,5,0,0,5,0,0,3,0,0,0,0,0,0,17,2,1,3,3,5,3,12,5,0,3,2,15,10,2,3,2,0,0,0,0,1,0,0,1,0,0,0,7,1,0,7,2,0,5,0,0,2,0,0,0,0,0,0,10,0,3,1,0,0,5,6,4,0,4,3,9,6,0,1,1,2,0,0,0,0,2,12,5,0,1,11,0
401,27,111,11,0,0,0,0,2,0,2,2,1,8,2,0,11,0,0,1,0,0,0,0,0,0,11,1,3,0,4,3,3,7,2,2,1,2,14,6,1,1,1,0,1,1,0,0,0,0,2,1,0,0,5,4,0,7,1,0,11,0,0,1,0,0,0,0,0,0,8,0,3,2,2,1,3,3,5,0,0,0,8,3,0,2,3,0,0,0,0,0,0,0,0,0,1,0,1,2,0,7,2,0,11,0,0,1,0,0,0,0,0,0,15,1,3,4,3,3,2,9,6,0,3,1,11,8,1,5,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,7,2,0,11,0,0,4,0,0,0,0,0,0,15,0,3,1,2,3,4,9,5,1,5,3,15,7,2,2,2,1,0,1,0,1,0,9,5,1,0,11,0
402,33,135,11,0,0,0,0,1,0,7,0,1,8,1,1,11,0,0,2,0,0,0,0,0,0,15,0,2,3,1,6,1,9,5,1,4,1,16,7,2,2,2,1,0,0,1,1,0,0,2,2,0,0,3,3,0,11,1,0,11,0,0,1,0,0,0,0,0,0,12,0,2,4,1,2,3,4,8,0,2,2,12,4,0,4,4,0,0,0,0,0,0,0,0,1,1,0,3,2,0,8,2,0,11,0,0,3,0,0,0,0,0,0,17,0,3,2,3,2,6,13,4,0,4,0,12,10,3,0,3,1,0,0,0,0,0,0,0,2,1,0,2,5,0,9,1,0,11,0,0,2,0,0,0,0,0,0,14,0,2,4,4,2,2,7,6,1,2,3,12,7,0,3,3,0,1,0,0,0,0,9,5,1,0,11,1
403,30,123,11,0,0,0,0,0,0,3,1,0,9,3,0,11,0,0,2,0,0,0,0,0,0,15,0,2,1,2,5,5,10,3,2,2,0,15,9,1,2,0,1,0,1,1,0,0,0,3,2,0,0,2,0,0,9,3,0,11,0,0,1,0,0,0,0,0,0,12,0,3,3,1,2,1,8,4,0,5,3,8,7,1,2,1,1,0,0,0,0,0,0,0,0,0,1,2,4,0,8,0,0,11,0,0,4,0,0,0,0,0,0,16,1,3,2,5,2,3,10,6,0,4,2,13,9,1,3,3,0,0,0,0,0,0,0,0,0,1,0,1,3,0,9,1,0,11,0,0,2,0,0,0,0,0,0,16,1,1,3,3,2,5,10,5,1,3,1,16,8,2,2,3,0,1,0,0,1,1,10,5,1,0,11,0
404,27,111,11,0,0,1,1,2,0,3,2,1,6,1,0,11,0,0,1,0,0,0,0,0,0,11,0,3,3,1,4,1,5,5,1,2,0,15,4,1,1,3,1,0,1,0,1,0,0,0,0,1,0,5,4,0,7,0,0,11,0,0,1,0,0,0,0,0,0,11,0,3,1,2,2,3,8,2,1,3,3,6,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,7,1,0,11,0,0,4,0,0,0,0,0,0,17,2,3,3,2,4,4,14,3,0,4,1,12,12,2,2,1,0,0,0,0,0,0,0,0,1,0,0,3,2,1,9,0,0,11,0,0,3,0,0,0,0,0,0,12,1,2,3,3,1,2,7,4,1,3,2,11,7,0,3,1,0,1,0,0,0,0,5,5,1,0,11,1
405,27,111,11,0,0,2,1,2,0,4,1,0,6,1,0,11,0,0,3,0,0,0,0,0,0,11,0,3,1,3,2,3,8,3,0,2,1,4,7,1,3,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,8,1,0,11,0,0,3,0,0,0,0,0,0,13,0,2,3,4,3,2,8,5,0,1,3,12,6,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,7,1,1,11,0,0,1,0,0,0,0,0,0,17,3,3,3,4,3,3,13,4,0,4,0,15,12,1,3,1,0,0,0,0,1,0,0,0,0,1,0,3,1,0,7,2,0,11,0,0,3,0,0,0,0,0,0,14,0,2,4,1,2,3,10,4,0,4,2,8,10,0,1,2,1,0,0,0,0,3,13,4,0,0,11,0
406,32,131,11,0,0,0,0,2,0,7,1,0,4,2,0,11,0,0,1,0,0,0,0,0,0,17,2,3,3,4,4,3,11,6,0,3,0,17,10,1,2,4,0,0,0,0,1,0,0,0,0,1,0,2,3,0,11,2,0,11,0,0,2,0,0,0,0,0,0,14,0,3,2,3,1,4,7,7,0,4,1,14,6,1,2,4,1,0,0,0,0,0,0,0,0,0,0,8,0,0,4,2,1,11,0,0,4,0,0,0,0,0,0,18,1,3,3,4,3,3,12,5,1,5,2,16,9,3,4,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,11,1,0,11,0,0,3,0,0,0,0,0,0,17,0,3,4,3,6,2,10,6,1,2,3,14,10,0,2,3,1,1,0,0,0,2,11,6,0,0,11,1
407,29,119,11,0,0,16,1,0,0,3,0,0,4,3,0,11,0,0,1,0,0,0,0,0,0,3,0,3,0,0,1,1,3,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,9,3,0,11,0,0,1,0,0,0,0,0,0,13,1,3,3,3,2,2,10,1,2,3,3,12,9,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,6,1,1,11,0,0,4,0,0,0,0,0,0,20,2,2,4,4,6,4,15,4,1,2,1,18,14,1,1,3,0,0,1,0,1,0,0,4,1,1,0,1,2,1,7,0,0,11,0,0,4,0,0,0,0,0,0,13,1,3,3,1,2,3,12,1,0,4,0,6,10,2,1,0,0,0,0,0,0,2,15,4,1,0,11,0
408,26,107,11,0,0,0,0,1,0,4,2,1,7,1,0,11,0,0,1,0,0,0,0,0,0,11,1,3,2,4,4,0,6,4,1,1,2,16,4,2,2,2,0,0,0,1,1,0,0,0,0,2,0,3,2,1,6,1,0,11,0,0,1,0,0,0,0,0,0,12,0,2,3,2,3,1,7,5,0,3,3,8,6,1,3,2,0,0,0,0,0,0,0,0,0,1,0,5,2,0,5,1,0,11,0,0,3,0,0,0,0,0,0,13,1,3,3,2,1,3,11,2,0,4,1,6,11,0,1,1,0,0,0,0,0,0,0,0,0,4,0,5,1,0,4,2,0,11,0,0,4,0,0,0,0,0,0,11,0,3,3,2,2,2,9,2,0,2,0,5,8,1,0,2,0,0,0,0,0,1,6,4,1,0,11,1
409,31,127,11,0,0,1,1,0,0,3,2,0,6,2,0,11,0,0,2,0,0,0,0,0,0,17,1,3,6,2,2,4,11,5,1,3,1,18,10,1,1,3,1,0,1,0,1,0,0,0,0,0,1,5,3,0,8,1,0,11,0,0,2,0,0,0,0,0,0,14,0,1,1,4,2,3,8,5,1,4,2,14,6,2,3,2,0,0,0,1,0,0,0,4,1,1,0,4,2,0,7,1,0,11,0,0,5,0,0,0,0,0,0,12,0,3,3,3,4,1,7,5,0,1,0,8,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8,2,0,11,0,0,0,0,0,0,0,0,0,17,1,2,2,3,5,4,11,5,1,3,3,18,9,2,3,1,1,0,0,1,1,1,11,5,1,0,11,1
410,26,107,11,0,0,1,1,1,0,1,4,0,8,1,0,11,0,0,2,0,0,0,0,0,0,10,0,3,2,3,0,2,7,3,0,3,1,6,5,2,2,1,0,0,0,0,0,0,0,0,0,1,0,5,2,0,7,0,0,11,0,0,3,0,0,0,0,0,0,12,0,3,2,2,1,6,9,3,0,1,3,8,7,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,7,2,1,11,0,0,1,0,0,0,0,0,0,15,2,3,3,3,3,2,11,3,1,4,0,15,10,1,1,2,0,1,0,0,1,0,0,0,0,0,0,5,2,0,6,2,0,11,0,0,1,0,0,0,0,0,0,12,0,3,3,1,4,2,6,5,1,2,2,11,6,0,3,2,0,0,1,0,0,2,11,3,1,0,11,0
411,33,135,11,0,0,1,1,2,0,1,0,0,11,3,0,11,0,0,2,0,0,0,0,0,0,15,1,3,3,3,3,3,12,1,2,3,2,14,10,2,0,1,0,1,1,0,0,0,0,3,0,1,0,3,2,0,8,1,0,11,0,0,1,0,0,0,0,0,0,16,1,3,4,2,2,3,10,6,0,5,1,15,9,1,2,3,1,0,0,0,1,0,0,0,0,0,0,4,2,0,7,1,0,11,0,0,4,0,0,0,0,0,0,20,0,0,3,3,8,3,13,6,1,3,3,15,11,2,3,2,1,1,0,0,0,1,0,0,0,0,0,4,4,0,11,1,1,11,0,0,3,0,0,0,0,0,0,12,0,3,2,5,1,2,5,6,1,2,0,14,5,0,2,3,1,1,0,0,0,1,10,6,0,0,11,0
412,28,115,11,0,0,5,1,0,0,4,3,0,7,0,0,11,0,0,3,0,0,0,0,0,0,9,0,3,0,1,4,2,8,1,0,2,0,1,8,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,9,0,0,11,0,0,2,0,0,0,0,0,0,12,0,3,1,2,4,2,9,3,0,3,1,7,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,3,1,0,7,2,0,11,0,0,2,0,0,0,0,0,0,14,2,2,3,3,3,3,9,5,0,2,2,16,7,2,2,3,0,0,0,0,1,0,0,0,0,3,0,1,3,0,8,1,0,11,0,0,3,0,0,0,0,0,0,13,0,3,4,5,1,2,9,4,0,1,3,9,8,1,1,2,1,0,0,0,0,2,9,5,0,0,11,0
413,29,119,11,0,0,0,0,1,0,5,2,0,6,2,0,11,0,0,1,0,0,0,0,0,0,14,1,3,5,1,2,3,11,2,1,3,1,11,10,1,1,1,0,0,1,0,0,0,0,0,1,0,0,5,1,0,8,2,1,11,0,0,4,0,0,0,0,0,0,12,1,2,0,5,0,2,6,5,1,5,0,18,6,0,0,4,1,0,1,0,1,0,0,0,0,2,0,3,0,1,7,3,0,11,0,0,4,0,0,0,0,0,0,14,1,3,2,3,5,1,10,3,1,3,3,16,7,3,0,2,1,1,0,0,0,0,0,0,1,2,0,2,2,0,8,0,0,11,0,0,1,0,0,0,0,0,0,15,0,3,2,3,3,3,8,7,0,4,2,10,7,1,5,2,0,0,0,0,0,1,6,5,1,0,11,0
414,29,119,11,0,0,3,2,0,1,1,2,0,7,2,0,11,0,0,3,0,0,0,0,0,0,12,0,3,1,5,3,2,7,5,0,1,0,10,6,1,2,2,1,0,0,0,0,0,0,1,0,0,1,2,2,1,8,1,0,11,0,0,3,0,0,0,0,0,0,14,0,3,5,2,3,1,8,5,1,3,1,14,6,2,2,3,0,0,1,0,0,0,0,0,0,3,0,0,1,0,7,2,0,11,0,0,4,0,0,0,0,0,0,17,1,3,2,3,5,4,12,4,1,3,3,13,12,0,2,2,0,0,1,0,0,0,0,0,0,0,0,2,0,1,7,2,0,11,0,0,0,0,0,0,0,0,0,18,1,3,4,2,2,5,13,5,0,5,2,15,11,2,1,3,1,0,0,0,1,1,13,5,0,0,11,0
415,30,123,11,0,0,1,0,1,0,4,2,0,8,0,0,11,0,0,4,0,0,0,0,0,0,15,0,3,2,7,2,1,11,3,1,3,0,12,9,2,1,1,1,0,1,0,0,0,0,5,0,0,0,5,1,0,8,1,1,11,0,0,1,0,0,0,0,0,0,10,0,3,2,2,1,3,6,4,0,2,3,5,6,0,3,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,8,3,0,11,0,0,2,0,0,0,0,0,0,17,0,3,5,2,5,3,10,6,1,2,2,16,10,0,0,5,1,1,0,0,0,0,0,0,0,1,0,2,4,0,7,0,0,11,0,0,3,0,0,0,0,0,0,17,1,3,3,1,4,5,12,4,1,4,1,16,9,3,3,1,0,0,0,1,1,1,12,4,1,0,11,0
416,28,115,11,0,0,6,0,0,0,1,2,0,9,1,0,11,0,0,1,0,0,0,0,0,0,10,0,3,2,2,3,1,8,2,0,2,2,6,6,2,0,2,0,0,0,0,0,0,0,1,1,2,0,2,3,0,8,1,0,11,0,0,2,0,0,0,0,0,0,11,0,3,2,2,5,1,6,5,0,1,0,8,6,0,3,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,9,1,2,11,0,0,3,0,0,0,0,0,0,14,0,3,0,5,2,2,10,4,0,5,1,7,9,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,11,0,0,2,0,0,0,0,0,0,18,2,3,4,2,3,6,13,5,0,3,3,16,11,2,2,3,0,0,0,0,1,2,13,5,0,0,11,0
417,26,107,11,0,0,0,0,0,0,2,4,0,8,1,0,11,0,0,5,0,0,0,0,0,0,12,0,3,1,2,5,3,8,2,2,1,1,13,8,0,0,2,0,0,1,1,0,0,0,0,0,2,1,4,1,0,7,0,1,11,0,0,1,0,0,0,0,0,0,11,0,3,3,3,1,3,8,3,0,1,0,4,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,8,0,0,11,0,0,2,0,0,0,0,0,0,13,1,2,3,4,4,0,8,5,0,2,2,15,7,1,1,2,2,0,0,0,1,0,0,2,1,1,0,3,2,0,7,1,0,11,0,0,1,0,0,0,0,0,0,10,0,3,2,3,1,2,8,2,0,2,3,3,7,1,2,0,0,0,0,0,0,1,8,5,0,0,11,0
418,30,123,11,0,0,6,0,0,0,1,3,0,7,1,0,11,0,0,1,0,0,0,0,0,0,13,0,3,4,1,4,2,9,4,0,2,0,10,7,2,1,2,1,0,0,0,0,0,0,0,0,0,0,3,1,0,7,3,0,11,0,0,4,0,0,0,0,0,0,17,2,2,3,4,3,3,10,6,1,4,1,16,10,0,5,1,0,1,0,0,1,0,0,1,0,0,0,3,1,0,8,1,1,11,0,0,4,0,0,0,0,0,0,16,0,3,1,6,5,2,11,4,1,2,2,14,10,1,0,4,0,0,0,1,0,0,0,0,0,0,0,3,4,0,6,0,1,11,0,0,1,0,0,0,0,0,0,17,0,2,2,2,2,6,10,7,0,5,3,15,8,2,2,4,1,0,0,0,0,2,10,6,1,0,11,0
419,28,115,11,0,0,0,0,2,0,0,2,0,7,0,1,11,0,0,2,0,0,0,0,0,0,17,0,2,4,4,5,2,12,5,0,2,3,10,12,0,1,3,1,0,0,0,0,0,0,0,0,1,0,4,2,0,6,1,0,11,0,0,3,0,0,0,0,0,0,15,0,3,2,3,2,3,10,4,1,5,2,13,9,1,0,4,0,0,1,0,0,0,0,3,1,0,0,3,2,0,8,1,0,11,0,0,3,0,0,0,0,0,0,11,0,2,2,3,4,1,8,2,1,1,0,7,7,1,1,1,0,1,0,0,0,0,0,0,0,1,1,4,0,0,6,1,1,11,0,0,2,0,0,0,0,0,0,15,0,2,4,3,2,5,9,5,1,1,1,15,6,3,2,3,0,0,1,0,1,0,9,5,1,0,11,0
420,30,123,11,0,0,1,1,1,0,5,2,0,8,1,1,11,0,0,1,0,0,0,0,0,0,11,0,3,4,1,2,1,5,6,0,3,3,12,4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,3,2,0,8,2,0,11,0,0,2,0,0,0,0,0,0,16,1,3,3,4,2,3,11,5,0,4,2,10,10,1,4,1,0,0,0,0,0,0,0,0,0,1,1,4,1,0,6,2,0,11,0,0,2,0,0,0,0,0,0,16,2,3,3,2,4,3,11,4,1,4,1,16,10,1,2,2,0,1,0,0,1,0,0,3,0,0,0,4,3,0,8,1,0,11,0,0,5,0,0,0,0,0,0,12,0,3,2,3,2,3,9,3,0,2,0,6,7,2,2,1,0,0,0,0,0,2,11,4,1,0,11,0
421,32,131,11,0,0,3,0,1,0,3,2,0,10,1,0,11,0,0,2,0,0,0,0,0,0,13,0,3,2,5,2,2,7,6,0,2,0,9,7,0,3,3,0,0,0,0,0,0,0,0,0,0,2,3,2,1,5,0,0,11,0,0,2,0,0,0,0,0,0,20,3,1,3,4,5,3,14,6,0,5,1,19,12,2,4,2,0,0,0,0,1,0,0,3,3,0,0,4,0,0,9,3,0,11,0,0,2,0,0,0,0,0,0,11,0,3,7,2,1,1,5,6,0,0,2,12,4,1,2,3,1,0,0,0,0,0,0,0,0,1,1,3,2,0,6,1,0,11,0,0,4,0,0,0,0,0,0,19,0,3,2,2,4,6,14,4,1,5,3,15,12,2,0,3,1,0,1,0,0,3,14,6,0,0,11,0
422,24,99,11,0,0,0,0,3,0,2,1,0,8,1,0,11,0,0,2,0,0,0,0,0,0,10,0,2,1,5,1,1,4,5,1,2,1,15,3,1,1,3,1,0,1,0,1,0,0,1,0,0,0,4,0,0,7,3,0,11,0,0,2,0,0,0,0,0,0,10,0,3,1,1,1,5,8,1,1,2,2,5,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,7,1,0,11,0,0,3,0,0,0,0,0,0,12,0,3,2,2,5,2,10,2,0,1,0,6,8,2,0,2,0,0,0,0,0,0,0,3,1,0,0,1,1,0,8,2,0,11,0,0,1,0,0,0,0,0,0,9,0,3,2,4,0,2,7,2,0,1,3,4,6,1,1,1,0,0,0,0,0,0,4,5,1,0,11,1
423,30,123,11,0,0,0,0,1,0,4,2,0,7,1,0,11,0,0,3,0,0,0,0,0,0,16,2,3,4,1,2,5,9,7,0,4,1,19,8,1,2,5,0,0,0,0,1,0,0,0,0,0,0,2,3,0,9,1,0,11,0,0,4,0,0,0,0,0,0,16,0,2,2,6,0,4,9,7,0,4,3,12,8,1,3,4,0,0,0,0,0,0,0,0,1,0,1,5,0,0,6,2,0,11,0,0,3,0,0,0,0,0,0,16,0,2,4,4,5,1,11,5,0,2,2,10,9,2,3,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,6,1,0,11,0,0,0,0,0,0,0,0,0,16,0,2,3,2,5,3,10,6,0,3,0,13,9,1,1,4,1,0,0,0,0,2,9,7,0,0,11,1
424,28,115,11,0,0,0,0,2,0,3,1,0,7,1,0,11,0,0,2,0,0,0,0,0,0,15,0,3,7,3,2,1,11,4,0,2,3,10,9,2,1,2,1,0,0,0,0,0,0,1,1,0,0,2,4,0,9,1,0,11,0,0,2,0,0,0,0,0,0,11,0,3,2,1,1,4,4,7,0,3,2,13,4,0,2,4,1,0,0,0,0,0,0,0,0,0,0,5,1,0,4,2,0,11,0,0,5,0,0,0,0,0,0,17,3,2,3,4,3,3,13,4,0,4,1,16,12,1,2,2,0,0,0,0,1,0,0,2,2,1,0,0,3,0,8,2,0,11,0,0,1,0,0,0,0,0,0,11,0,3,1,0,5,3,7,4,0,2,0,6,7,0,3,0,1,0,0,0,0,3,13,4,0,0,11,0
425,30,123,11,0,0,1,0,1,0,6,2,0,6,2,0,11,0,0,2,0,0,0,0,0,0,13,1,3,3,1,2,4,9,3,1,3,2,14,7,2,1,2,0,0,1,0,0,0,0,0,0,1,1,3,2,0,7,1,0,11,0,0,4,0,0,0,0,0,0,16,1,3,4,3,4,2,12,2,2,3,0,16,9,3,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,8,2,0,11,0,0,2,0,0,0,0,0,0,19,0,2,7,3,3,3,12,6,1,3,3,16,12,0,1,4,1,0,1,0,0,0,0,0,0,1,0,4,3,0,10,1,0,11,0,0,0,0,0,0,0,0,0,12,0,1,1,2,1,4,4,8,0,4,1,13,4,0,5,1,2,0,0,0,0,1,12,2,2,0,11,0
426,29,119,11,0,0,0,0,0,0,3,1,0,8,1,1,11,0,0,1,0,0,0,0,0,0,16,0,3,2,6,5,2,11,5,0,1,0,10,10,1,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,8,1,2,11,0,0,4,0,0,0,0,0,0,17,2,3,3,3,3,3,11,6,0,5,1,18,9,2,3,2,1,0,0,0,1,0,0,5,0,0,0,3,1,0,9,2,0,11,0,0,1,0,0,0,0,0,0,10,0,3,2,0,2,3,8,2,0,3,2,6,7,1,0,1,1,0,0,0,0,0,0,0,0,1,0,5,3,0,6,1,0,11,0,0,3,0,0,0,0,0,0,14,0,3,3,4,1,2,9,4,1,4,3,10,8,1,3,1,0,0,1,0,0,2,11,6,0,0,11,0
427,28,115,11,0,0,0,0,3,0,1,1,0,8,2,0,11,0,0,4,0,0,0,0,0,0,14,1,3,3,2,3,4,10,4,0,2,2,11,9,1,2,1,1,0,0,0,0,0,0,1,0,2,0,6,2,0,4,1,0,11,0,0,1,0,0,0,0,0,0,13,0,2,1,3,3,2,9,4,0,4,3,10,7,2,1,2,1,0,0,0,0,0,0,0,0,1,0,3,2,0,7,1,0,11,0,0,2,0,0,0,0,0,0,15,1,2,3,3,1,5,10,5,0,3,1,11,10,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,10,2,0,11,0,0,2,0,0,0,0,0,0,13,1,3,3,4,4,1,7,6,0,1,0,15,5,2,2,4,0,0,0,0,1,1,7,6,0,0,11,0
